provider_id,specialty,region,network_status
P0136,Neurology,Midwest,In Network
P0137,Radiology,Midwest,In Network
P0138,Urology,South,In Network
P0139,Gastroenterology,Midwest,In Network
P0140,Emergency Medicine,Northeast,In Network
P0141,Radiology,South,In Network
P0142,Orthopedics,Northeast,In Network
P0143,Oncology,West,In Network
P0144,Urology,Midwest,In Network
P0145,Emergency Medicine,Northeast,In Network
P0146,Family Medicine,West,In Network
P0147,Cardiology,South,Out of Network
P0148,Family Medicine,West,In Network
P0149,Gastroenterology,South,In Network
P0150,Gastroenterology,Midwest,In Network
P0151,Dermatology,South,Out of Network
P0152,Radiology,South,In Network
P0153,Gastroenterology,South,In Network
P0154,Gastroenterology,Midwest,In Network
P0155,Radiology,Midwest,In Network
P0156,Gastroenterology,Northeast,In Network
P0157,Radiology,West,Out of Network
P0158,Emergency Medicine,Midwest,In Network
P0159,Radiology,West,In Network
P0160,Urology,Midwest,In Network
P0161,Orthopedics,South,Out of Network
P0162,Radiology,Midwest,In Network
P0163,Orthopedics,South,In Network
P0164,Oncology,West,In Network
P0165,Orthopedics,South,In Network
P0166,Urology,Midwest,In Network
P0167,Oncology,South,In Network
P0168,Oncology,Midwest,In Network
P0169,Cardiology,South,In Network
P0170,Urology,South,In Network
P0171,Orthopedics,Midwest,In Network
P0172,Dermatology,South,In Network
P0173,Emergency Medicine,South,In Network
P0174,Emergency Medicine,Northeast,In Network
P0175,Family Medicine,Midwest,In Network
P0176,Radiology,South,In Network
P0177,Gastroenterology,South,In Network
P0178,Gastroenterology,South,In Network
P0179,Orthopedics,South,Out of Network
P0180,Family Medicine,Midwest,In Network
P0181,Radiology,Northeast,In Network
P0182,Orthopedics,Northeast,In Network
P0183,Emergency Medicine,Midwest,In Network
P0184,Oncology,Northeast,In Network
P0185,Gastroenterology,Northeast,Out of Network
P0186,Family Medicine,South,In Network
P0187,Urology,South,In Network
P0188,Family Medicine,Northeast,In Network
P0189,Dermatology,South,In Network
P0190,Gastroenterology,Northeast,In Network
P0191,Neurology,Midwest,In Network
P0192,Dermatology,West,Out of Network
P0193,Orthopedics,South,In Network
P0194,Emergency Medicine,Northeast,In Network
P0195,Cardiology,Midwest,In Network
P0196,Neurology,South,In Network
P0197,Dermatology,Midwest,Out of Network
P0198,Orthopedics,West,In Network
P0199,Cardiology,South,In Network
P0200,Gastroenterology,Northeast,In Network
P0201,Cardiology,South,In Network
P0202,Family Medicine,South,In Network
P0203,Urology,South,In Network
P0204,Oncology,West,In Network
P0205,Neurology,West,In Network
P0206,Dermatology,Northeast,In Network
P0207,Family Medicine,Northeast,Out of Network
P0208,Family Medicine,Midwest,In Network
P0209,Neurology,South,Out of Network
P0210,Emergency Medicine,South,Out of Network
P0211,Urology,Midwest,Out of Network
P0212,Oncology,West,In Network
P0213,Family Medicine,Midwest,In Network
P0214,Dermatology,West,In Network
P0215,Neurology,West,In Network
P0216,Gastroenterology,Northeast,In Network
P0217,Oncology,Midwest,In Network
P0218,Neurology,Midwest,In Network
P0219,Oncology,West,In Network
P0220,Radiology,Midwest,Out of Network
P0221,Neurology,West,In Network
P0222,Orthopedics,South,Out of Network
P0223,Family Medicine,South,In Network
P0224,Urology,West,In Network
P0225,Gastroenterology,South,In Network
P0226,Oncology,South,In Network
P0227,Urology,South,In Network
P0228,Family Medicine,Northeast,In Network
P0229,Dermatology,Northeast,Out of Network
P0230,Emergency Medicine,Midwest,In Network
P0231,Emergency Medicine,South,In Network
P0232,Cardiology,Midwest,In Network
P0233,Neurology,South,In Network
P0234,Emergency Medicine,Northeast,In Network
P0235,Cardiology,South,In Network
P0236,Dermatology,West,In Network
P0237,Emergency Medicine,South,In Network
P0238,Family Medicine,West,In Network
P0239,Urology,Northeast,In Network
P0240,Orthopedics,Northeast,In Network
P0241,Orthopedics,South,In Network
P0242,Oncology,Midwest,In Network
P0243,Radiology,South,In Network
P0244,Family Medicine,West,Out of Network
P0245,Cardiology,Northeast,In Network
P0246,Neurology,West,In Network
P0247,Cardiology,Northeast,In Network
P0248,Emergency Medicine,South,In Network
P0249,Orthopedics,Midwest,In Network
P0250,Neurology,South,In Network
P0251,Oncology,Northeast,In Network
P0252,Neurology,West,In Network
P0253,Neurology,West,In Network
P0254,Family Medicine,South,In Network
P0255,Emergency Medicine,South,In Network
P0256,Emergency Medicine,South,In Network
P0257,Orthopedics,South,In Network
P0258,Urology,South,Out of Network
P0259,Cardiology,South,In Network
P0260,Neurology,West,In Network
P0261,Gastroenterology,South,In Network
P0262,Neurology,Midwest,In Network
P0263,Emergency Medicine,West,In Network
P0264,Cardiology,Midwest,In Network
P0265,Emergency Medicine,Northeast,Out of Network
P0266,Dermatology,West,In Network
P0267,Cardiology,Midwest,In Network
P0268,Family Medicine,Northeast,Out of Network
P0269,Oncology,South,In Network
P0270,Urology,West,Out of Network
P0271,Oncology,Northeast,In Network
P0272,Dermatology,South,Out of Network
P0273,Family Medicine,Northeast,In Network
P0274,Family Medicine,South,In Network
P0275,Emergency Medicine,Midwest,Out of Network
P0276,Urology,Northeast,In Network
P0277,Oncology,West,In Network
P0278,Gastroenterology,South,In Network
P0279,Gastroenterology,West,In Network
P0280,Family Medicine,West,In Network
P0281,Gastroenterology,West,In Network
P0282,Oncology,South,In Network
P0283,Urology,Midwest,In Network
P0284,Gastroenterology,West,In Network
P0285,Dermatology,South,In Network
P0286,Urology,Midwest,In Network
P0287,Family Medicine,Midwest,In Network
P0288,Cardiology,Midwest,In Network
P0289,Neurology,South,Out of Network
P0290,Orthopedics,West,In Network
P0291,Emergency Medicine,South,In Network
P0292,Emergency Medicine,Midwest,Out of Network
P0293,Emergency Medicine,Northeast,In Network
P0294,Radiology,West,In Network
P0295,Urology,South,In Network
P0296,Radiology,South,In Network
P0297,Emergency Medicine,South,In Network
P0298,Radiology,West,In Network
P0299,Family Medicine,South,In Network
P0300,Radiology,South,In Network
P0301,Urology,Midwest,In Network
P0302,Orthopedics,West,In Network
P0303,Urology,South,In Network
P0304,Dermatology,South,In Network
P0305,Oncology,Northeast,In Network
P0306,Cardiology,South,In Network
P0307,Oncology,Midwest,In Network
P0308,Family Medicine,South,In Network
P0309,Urology,South,In Network
P0310,Gastroenterology,West,In Network
P0311,Orthopedics,Midwest,In Network
P0312,Family Medicine,West,In Network
P0313,Cardiology,Midwest,In Network
P0314,Orthopedics,South,In Network
P0315,Emergency Medicine,Northeast,In Network
P0316,Orthopedics,Midwest,In Network
P0317,Gastroenterology,West,In Network
P0318,Urology,Northeast,In Network
P0319,Family Medicine,West,In Network
P0320,Gastroenterology,Midwest,In Network
P0321,Orthopedics,South,In Network
P0322,Orthopedics,Northeast,In Network
P0323,Dermatology,South,In Network
P0324,Orthopedics,West,Out of Network
P0325,Gastroenterology,South,Out of Network
P0326,Urology,Midwest,In Network
P0327,Oncology,West,In Network
P0328,Orthopedics,South,In Network
P0329,Family Medicine,Northeast,In Network
P0330,Emergency Medicine,South,In Network
P0331,Orthopedics,South,In Network
P0332,Cardiology,South,In Network
P0333,Neurology,Midwest,In Network
P0334,Urology,South,Out of Network
P0335,Urology,West,In Network
P0336,Orthopedics,South,In Network
P0337,Gastroenterology,South,In Network
P0338,Radiology,West,In Network
P0339,Cardiology,Midwest,Out of Network
P0340,Orthopedics,Midwest,In Network
P0341,Dermatology,South,In Network
P0342,Orthopedics,South,In Network
P0343,Family Medicine,West,In Network
P0344,Orthopedics,South,In Network
P0345,Oncology,Midwest,In Network
P0346,Urology,Midwest,In Network
P0347,Orthopedics,Northeast,In Network
P0348,Urology,West,In Network
P0349,Dermatology,Northeast,In Network
